"","Area","Year","Week","State","Location","Total_Kes","Duration_of_Outbreak_in_day","Wind_mean_weekly","Rainfall_mm_mean_weekly","Humidity_mean_weekly","Solar_Radiation_Mjm2_mean_weekly","Area_Population"
"3300","Petaling",2015,10,"SELANGOR","Taman_Kinrara_4__Teres_",51,46,64.8571428571429,15.8857142857143,1.15714285714286,0,1765495
"3301","Petaling",2015,10,"SELANGOR","Taman_Kinrara_1",34,46,64.8571428571429,15.8857142857143,1.15714285714286,0,1765495
"3302","Petaling",2015,3,"SELANGOR","Duss_2__2_",84,31,64.5857142857143,16.4857142857143,1.22857142857143,0,1765495
"3303","Petaling",2015,10,"SELANGOR","Bl_Pju_6A_Kg_Sg_Kayu_Ara_3__Jln_Kenanga,_Anggerik,_Cempaka_",146,46,64.8571428571429,15.8857142857143,1.15714285714286,0,1765495
"3304","Petaling",2015,4,"SELANGOR","Du_Ss_22__2_",21,225,70.6714285714286,4.51428571428571,0.985714285714286,0,1765495
"3305","Petaling",2015,10,"SELANGOR","Kt_Pju_1A_Vista_Subang",70,45,64.8571428571429,15.8857142857143,1.15714285714286,0,1765495
"3306","Petaling",2015,10,"SELANGOR","Seksyen_U5__Pangsapuri_Flora_Iii_:_Blok_1,3_",146,44,64.8571428571429,15.8857142857143,1.15714285714286,0,1765495
"3307","Petaling",2015,9,"SELANGOR","Seksyen_U10_Puncak_Perdana_:_Uitm",137,123,73.9571428571429,5.68571428571429,1.12857142857143,0,1765495
"3308","Petaling",2015,4,"SELANGOR","Seksyen_7_Flat_B_:_Blok_13_,_37",122,152,70.6714285714286,4.51428571428571,0.985714285714286,0,1765495
"3309","Petaling",2015,4,"SELANGOR","Bl_Pju_10_Apt_Permai",128,140,70.6714285714286,4.51428571428571,0.985714285714286,0,1765495
"3310","Petaling",2015,4,"SELANGOR","Usj_2,5",119,140,70.6714285714286,4.51428571428571,0.985714285714286,0,1765495
"3311","Petaling",2015,5,"SELANGOR","Bandar_Kinrara_5_Jln_Bk_5,9,_Bk_5,18_,_Ipd_Serdang",12,34,72.0142857142857,8.51428571428571,1.11428571428571,0,1765495
"3312","Petaling",2015,10,"SELANGOR","Kd_Pju_5_Seksyen_6",12,43,64.8571428571429,15.8857142857143,1.15714285714286,0,1765495
"3313","Petaling",2015,10,"SELANGOR","Du_Ss_2__4_",146,42,64.8571428571429,15.8857142857143,1.15714285714286,0,1765495
"3314","Petaling",2015,10,"SELANGOR","Taman_Kinrara_4",179,42,64.8571428571429,15.8857142857143,1.15714285714286,0,1765495
"3315","Petaling",2015,10,"SELANGOR","Usj_20,6",157,42,64.8571428571429,15.8857142857143,1.15714285714286,0,1765495
"3316","Petaling",2015,4,"SELANGOR","Pusat_Bandar_Puchong_Jln_Wawasan_2",134,119,70.6714285714286,4.51428571428571,0.985714285714286,0,1765495
"3317","Petaling",2015,4,"SELANGOR","Sri_Pjs_8_Mentari_Court",154,118,70.6714285714286,4.51428571428571,0.985714285714286,0,1765495
"3318","Petaling",2015,12,"SELANGOR","Usj_18",157,37,1.27142857142857,1.05714285714286,72.0714285714286,0,1765495
"3319","Petaling",2015,4,"SELANGOR","Bl_Pju_9_Sd_10",96,109,70.6714285714286,4.51428571428571,0.985714285714286,0,1765495
"3320","Petaling",2015,8,"SELANGOR","Taman_Sri_Serdang_3__18,30_,_18,44_,_18,46_",126,89,35.6428571428571,4.14285714285714,1,0,1765495
"3321","Petaling",2015,4,"SELANGOR","Bandar_Kinrara_2",88,107,70.6714285714286,4.51428571428571,0.985714285714286,0,1765495
"3322","Petaling",2015,4,"SELANGOR","Seksyen_U16__Pangsapuri_Kiambang_:_Blok_21_,_27_",114,104,70.6714285714286,4.51428571428571,0.985714285714286,0,1765495
"3323","Petaling",2015,10,"SELANGOR","Kt_Seksyen_20_Teres_A",1,40,64.8571428571429,15.8857142857143,1.15714285714286,0,1765495
"3324","Petaling",2015,10,"SELANGOR","Usj_6,1_Subang_Perdana_Goodyear_Court_1",43,40,64.8571428571429,15.8857142857143,1.15714285714286,0,1765495
"3325","Petaling",2015,4,"SELANGOR","Seksyen_U16__Pangsapuri_Melati_:_Blok_11_,_20_",84,90,70.6714285714286,4.51428571428571,0.985714285714286,0,1765495
"3326","Petaling",2015,12,"SELANGOR","Seksyen_23__Teres_A_:_Jln_23,6_,_23,12",135,34,1.27142857142857,1.05714285714286,72.0714285714286,0,1765495
"3327","Petaling",2015,12,"SELANGOR","Seksyen_U5__Pangsapuri_Orkid_:_Blok_7_,_12_",146,34,1.27142857142857,1.05714285714286,72.0714285714286,0,1765495
"3328","Petaling",2015,8,"SELANGOR","Usj_8_Subang_Perdana_Goodyear_Court_5_",84,83,35.6428571428571,4.14285714285714,1,0,1765495
